[2025/12/01 01:47:51] Epoch[10/300], Step[173/173], lr:4.00e-04, PSNR:18.28, pixel_loss:0.1498, clip_loss:0.0000, total_loss:0.1498 [WARMUP]
Eval at epoch 10: Train_PSNR=18.63, Val_PSNR=0.00, Train_CLIP_sim=-0.0164, Val_CLIP_sim=0.0000
[2025/12/01 01:51:21] Epoch[11/300], Step[1/173], lr:4.00e-04, PSNR:16.98, pixel_loss:0.1677, clip_loss:0.0000, total_loss:0.1677 [WARMUP]
[2025/12/01 01:51:34] Epoch[11/300], Step[51/173], lr:4.09e-04, PSNR:18.7, pixel_loss:0.1429, clip_loss:0.0000, total_loss:0.1429 [WARMUP]
[2025/12/01 01:51:46] Epoch[11/300], Step[101/173], lr:4.17e-04, PSNR:18.62, pixel_loss:0.1453, clip_loss:0.0000, total_loss:0.1453 [WARMUP]
[2025/12/01 01:51:53] Epoch[11/300], Step[151/173], lr:4.26e-04, PSNR:18.65, pixel_loss:0.1444, clip_loss:0.0000, total_loss:0.1444 [WARMUP]
[2025/12/01 01:51:57] Epoch[11/300], Step[173/173], lr:4.30e-04, PSNR:18.66, pixel_loss:0.1437, clip_loss:0.0000, total_loss:0.1437 [WARMUP]
[2025/12/01 01:53:22] Epoch[12/300], Step[1/173], lr:4.30e-04, PSNR:19.72, pixel_loss:0.1264, clip_loss:0.0000, total_loss:0.1264 [WARMUP]
[2025/12/01 01:53:34] Epoch[12/300], Step[51/173], lr:4.39e-04, PSNR:18.88, pixel_loss:0.1407, clip_loss:0.0000, total_loss:0.1407 [WARMUP]
[2025/12/01 01:53:43] Epoch[12/300], Step[101/173], lr:4.47e-04, PSNR:18.89, pixel_loss:0.1399, clip_loss:0.0000, total_loss:0.1399 [WARMUP]
[2025/12/01 01:53:51] Epoch[12/300], Step[151/173], lr:4.56e-04, PSNR:18.94, pixel_loss:0.1392, clip_loss:0.0000, total_loss:0.1392 [WARMUP]
[2025/12/01 01:53:55] Epoch[12/300], Step[173/173], lr:4.60e-04, PSNR:18.94, pixel_loss:0.1393, clip_loss:0.0000, total_loss:0.1393 [WARMUP]
[2025/12/01 01:55:21] Epoch[13/300], Step[1/173], lr:4.60e-04, PSNR:19.25, pixel_loss:0.1321, clip_loss:0.0000, total_loss:0.1321 [WARMUP]
[2025/12/01 01:55:33] Epoch[13/300], Step[51/173], lr:4.69e-04, PSNR:19.24, pixel_loss:0.1358, clip_loss:0.0000, total_loss:0.1358 [WARMUP]
[2025/12/01 01:55:45] Epoch[13/300], Step[101/173], lr:4.77e-04, PSNR:19.24, pixel_loss:0.1357, clip_loss:0.0000, total_loss:0.1357 [WARMUP]
[2025/12/01 01:55:56] Epoch[13/300], Step[151/173], lr:4.86e-04, PSNR:19.25, pixel_loss:0.1350, clip_loss:0.0000, total_loss:0.1350 [WARMUP]
[2025/12/01 01:56:00] Epoch[13/300], Step[173/173], lr:4.90e-04, PSNR:19.23, pixel_loss:0.1352, clip_loss:0.0000, total_loss:0.1352 [WARMUP]
[2025/12/01 01:57:36] Epoch[14/300], Step[1/173], lr:4.90e-04, PSNR:19.94, pixel_loss:0.1295, clip_loss:0.0000, total_loss:0.1295 [WARMUP]
